annee;code_iris;nom_iris;numero_de_voie;indice_de_repetition;type_de_voie;libelle_de_voie;adresse;nombre_de_sites;consommation_annuelle_totale_de_ladresse_mwh;code_grand_secteur;code_categorie_consommation;code_secteur_naf2;code_commune;nom_commune;code_epci;code_departement;code_region;tri_des_adresses
2021;570060000;Achen (commune non irisée);7;;RUE;DU CHATEAU;7 RUE DU CHATEAU;1;76.722;INDUSTRIE;ENT;43;57006;Achen;200069441;57;44;179
2024;800010102;Centre Ville-Saint-Vulfran;39;;RUE;LESUEUR;39 RUE LESUEUR;1;5.781;TERTIAIRE;ENT;65;80001;Abbeville;200070993;80;32;179
2023;800010501;La Porte au Bois;14;;RUE;JULES VERNE;14 RUE JULES VERNE;1;23.418;TERTIAIRE;ENT;46;80001;Abbeville;200070993;80;32;180
2024;800010501;La Porte au Bois;7;;RUE;MACQUERON;7 RUE MACQUERON;1;45.146;TERTIAIRE;ENT;93;80001;Abbeville;200070993;80;32;180
2022;800010301;Faubourg de Menchecourt;;;RUE;JEAN MENNESSON;RUE JEAN MENNESSON;1;162.41;TERTIAIRE;ENT;93;80001;Abbeville;200070993;80;32;180
2021;570060000;Achen (commune non irisée);10;A;RUE;DU HAUT POIRIER;10 A RUE DU HAUT POIRIER;1;43.104;TERTIAIRE;ENT;84;57006;Achen;200069441;57;44;180
2022;800010101;Centre Ville Émonville;;;RUE;JOSSE VAN ROBAIS;RUE JOSSE VAN ROBAIS;1;37.975;TERTIAIRE;ENT;84;80001;Abbeville;200070993;80;32;181
2024;800010501;La Porte au Bois;6;;RUE;MACQUERON;6 RUE MACQUERON;1;147.942;TERTIAIRE;ENT;45;80001;Abbeville;200070993;80;32;181
2023;800010501;La Porte au Bois;13;;RUE;JULES VERNE;13 RUE JULES VERNE;1;492.831;INDUSTRIE;ENT;43;80001;Abbeville;200070993;80;32;181
2021;800030000;Acheux-en-Amiénois (commune non irisée);7;;RUE;DE BERTRANCOURT;7 RUE DE BERTRANCOURT;1;22.67;AGRICULTURE;ENT;01;80003;Acheux-en-Amiénois;248000747;80;32;181
2021;800030000;Acheux-en-Amiénois (commune non irisée);51;;RUE;DE LEALVILLERS;51 RUE DE LEALVILLERS;1;133.185;TERTIAIRE;ENT;85;80003;Acheux-en-Amiénois;248000747;80;32;182
2024;800010101;Centre Ville Émonville;84;;CHAUSSEE;MARCADE;84 CHAUSSEE MARCADE;1;109.707;TERTIAIRE;ENT;68;80001;Abbeville;200070993;80;32;182
2023;800010501;La Porte au Bois;1;;RUE;JULES VERNE;1 RUE JULES VERNE;1;262.53;INDUSTRIE;ENT;10;80001;Abbeville;200070993;80;32;182
2022;800010501;La Porte au Bois;14;;RUE;JULES VERNE;14 RUE JULES VERNE;1;22.47;TERTIAIRE;ENT;46;80001;Abbeville;200070993;80;32;182
2021;800030000;Acheux-en-Amiénois (commune non irisée);44;;RUE;RAYMOND DE WAZIERES;44 RUE RAYMOND DE WAZIERES;1;95.929;INDUSTRIE;ENT;43;80003;Acheux-en-Amiénois;248000747;80;32;183
2022;800010501;La Porte au Bois;13;;RUE;JULES VERNE;13 RUE JULES VERNE;1;454.675;INDUSTRIE;ENT;43;80001;Abbeville;200070993;80;32;183
2023;800010503;Ponthieu-Bagatelle;;;;LE BUREAU;LE BUREAU;1;232.327;TERTIAIRE;ENT;56;80001;Abbeville;200070993;80;32;183
2024;800010101;Centre Ville Émonville;41;;PLACE;MAX LEJEUNE;41 PLACE MAX LEJEUNE;1;40.266;TERTIAIRE;ENT;64;80001;Abbeville;200070993;80;32;183
